Depth (m),Facies Code,Lithology
2068.8,2,Bituminous F-M Siltstone
2068.9,2,Bituminous F-M Siltstone
2069.0,2,Bituminous F-M Siltstone
2069.1,2,Bituminous F-M Siltstone
2069.2,2,Bituminous F-M Siltstone
2069.3,2,Bituminous F-M Siltstone
2069.4,2,Bituminous F-M Siltstone
2069.5,2,Bituminous F-M Siltstone
2069.6,2,Bituminous F-M Siltstone
2069.7,2,Bituminous F-M Siltstone
2069.8,2,Bituminous F-M Siltstone
2069.9,2,Bituminous F-M Siltstone
2070.0,2,Bituminous F-M Siltstone
2070.1,2,Bituminous F-M Siltstone
2070.2,2,Bituminous F-M Siltstone
2070.3,2,Bituminous F-M Siltstone
2070.4,2,Bituminous F-M Siltstone
2070.5,2,Bituminous F-M Siltstone
2070.6,UNKNOWN,Blank Space
2070.7,UNKNOWN,Blank Space
2070.8,UNKNOWN,Blank Space
2070.9,UNKNOWN,Blank Space
2071.0,UNKNOWN,Blank Space
2071.1,UNKNOWN,Blank Space
2071.2,UNKNOWN,Blank Space
2071.3,UNKNOWN,Blank Space
2071.4,UNKNOWN,Blank Space
2071.5,UNKNOWN,Blank Space
2071.6,UNKNOWN,Blank Space
2071.7,UNKNOWN,Blank Space
2071.8,UNKNOWN,Blank Space
2071.9,UNKNOWN,Blank Space
2072.0,UNKNOWN,Blank Space
2072.1,UNKNOWN,Blank Space
2072.2,UNKNOWN,Blank Space
2072.3,UNKNOWN,Blank Space
2072.4,UNKNOWN,Blank Space
2072.5,UNKNOWN,Blank Space
2072.6,UNKNOWN,Blank Space
2072.7,UNKNOWN,Blank Space
2072.8,UNKNOWN,Blank Space
2072.9,UNKNOWN,Blank Space
2073.0,UNKNOWN,Blank Space
2073.1,UNKNOWN,Blank Space
2073.2,UNKNOWN,Blank Space
2073.3,UNKNOWN,Blank Space
2073.4,UNKNOWN,Blank Space
2073.5,UNKNOWN,Blank Space
2073.6,UNKNOWN,Blank Space
2073.7,UNKNOWN,Blank Space
2073.8,UNKNOWN,Blank Space
2073.9,UNKNOWN,Blank Space
2074.0,UNKNOWN,Blank Space
2074.1,UNKNOWN,Blank Space
2074.2,UNKNOWN,Blank Space
2074.3,UNKNOWN,Blank Space
2074.4,UNKNOWN,Blank Space
2074.5,UNKNOWN,Blank Space
2074.6,UNKNOWN,Blank Space
2074.7,UNKNOWN,Blank Space
2074.8,UNKNOWN,Blank Space
2074.9,UNKNOWN,Blank Space
2075.0,UNKNOWN,Blank Space
2075.1,UNKNOWN,Blank Space
2075.2,UNKNOWN,Blank Space
2075.3,UNKNOWN,Blank Space
2075.4,UNKNOWN,Blank Space
2075.5,UNKNOWN,Blank Space
2075.6,UNKNOWN,Blank Space
2075.7,UNKNOWN,Blank Space
