Depth (m),Facies Code,Lithology
2204.7,2,Bituminous F-M Siltstone
2204.8,2,Bituminous F-M Siltstone
2204.9,2,Bituminous F-M Siltstone
2205.0,2,Bituminous F-M Siltstone
2205.1,2,Bituminous F-M Siltstone
2205.2,2,Bituminous F-M Siltstone
2205.3,2,Bituminous F-M Siltstone
2205.4,2,Bituminous F-M Siltstone
2205.5,2,Bituminous F-M Siltstone
2205.6,2,Bituminous F-M Siltstone
2205.7,2,Bituminous F-M Siltstone
2205.8,2,Bituminous F-M Siltstone
2205.9,2,Bituminous F-M Siltstone
2206.0,2,Bituminous F-M Siltstone
2206.1,1,Bituminous F-C Siltstone
2206.2,1,Bituminous F-C Siltstone
2206.3,1,Bituminous F-C Siltstone
2206.4,1,Bituminous F-C Siltstone
2206.5,1,Bituminous F-C Siltstone
2206.6,2,Bituminous F-M Siltstone
2206.7,2,Bituminous F-M Siltstone
2206.8,2,Bituminous F-M Siltstone
2206.9,2,Bituminous F-M Siltstone
2207.0,2,Bituminous F-M Siltstone
2207.1,2,Bituminous F-M Siltstone
2207.2,2,Bituminous F-M Siltstone
2207.3,2,Bituminous F-M Siltstone
2207.4,2,Bituminous F-M Siltstone
2207.5,2,Bituminous F-M Siltstone
2207.6,2,Bituminous F-M Siltstone
2207.7,2,Bituminous F-M Siltstone
2207.8,2,Bituminous F-M Siltstone
2207.9,2,Bituminous F-M Siltstone
2208.0,2,Bituminous F-M Siltstone
2208.1,2,Bituminous F-M Siltstone
2208.2,2,Bituminous F-M Siltstone
2208.3,2,Bituminous F-M Siltstone
2208.4,2,Bituminous F-M Siltstone
2208.5,2,Bituminous F-M Siltstone
2208.6,2,Bituminous F-M Siltstone
2208.7,2,Bituminous F-M Siltstone
2208.8,2,Bituminous F-M Siltstone
2208.9,2,Bituminous F-M Siltstone
2209.0,2,Bituminous F-M Siltstone
2209.1,2,Bituminous F-M Siltstone
2209.2,2,Bituminous F-M Siltstone
2209.3,2,Bituminous F-M Siltstone
2209.4,2,Bituminous F-M Siltstone
2209.5,2,Bituminous F-M Siltstone
2209.6,2,Bituminous F-M Siltstone
2209.7,2,Bituminous F-M Siltstone
2209.8,2,Bituminous F-M Siltstone
2209.9,2,Bituminous F-M Siltstone
2210.0,2,Bituminous F-M Siltstone
2210.1,2,Bituminous F-M Siltstone
2210.2,UNKNOWN,Blank Space
2210.3,2,Bituminous F-M Siltstone
2210.4,2,Bituminous F-M Siltstone
2210.5,2,Bituminous F-M Siltstone
2210.6,2,Bituminous F-M Siltstone
2210.7,2,Bituminous F-M Siltstone
2210.8,2,Bituminous F-M Siltstone
2210.9,2,Bituminous F-M Siltstone
2211.0,2,Bituminous F-M Siltstone
2211.1,2,Bituminous F-M Siltstone
2211.2,2,Bituminous F-M Siltstone
2211.3,2,Bituminous F-M Siltstone
2211.4,2,Bituminous F-M Siltstone
2211.5,3,Calcareous - Calcispheric Dolosiltstone
2211.6,3,Calcareous - Calcispheric Dolosiltstone
2211.7,3,Calcareous - Calcispheric Dolosiltstone
2211.8,3,Calcareous - Calcispheric Dolosiltstone
2211.9,3,Calcareous - Calcispheric Dolosiltstone
2212.0,3,Calcareous - Calcispheric Dolosiltstone
2212.1,3,Calcareous - Calcispheric Dolosiltstone
2212.2,3,Calcareous - Calcispheric Dolosiltstone
2212.3,2,Bituminous F-M Siltstone
2212.4,2,Bituminous F-M Siltstone
2212.5,1,Bituminous F-C Siltstone
2212.6,1,Bituminous F-C Siltstone
2212.7,1,Bituminous F-C Siltstone
2212.8,1,Bituminous F-C Siltstone
2212.9,1,Bituminous F-C Siltstone
2213.0,1,Bituminous F-C Siltstone
2213.1,1,Bituminous F-C Siltstone
2213.2,1,Bituminous F-C Siltstone
2213.3,1,Bituminous F-C Siltstone
2213.4,1,Bituminous F-C Siltstone
2213.5,1,Bituminous F-C Siltstone
2213.6,1,Bituminous F-C Siltstone
2213.7,2,Bituminous F-M Siltstone
2213.8,4,Laminated Bedded Resedimented Bioclasts
2213.9,4,Laminated Bedded Resedimented Bioclasts
2214.0,4,Laminated Bedded Resedimented Bioclasts
2214.1,4,Laminated Bedded Resedimented Bioclasts
2214.2,2,Bituminous F-M Siltstone
2214.3,2,Bituminous F-M Siltstone
2214.4,2,Bituminous F-M Siltstone
2214.5,2,Bituminous F-M Siltstone
2214.6,2,Bituminous F-M Siltstone
2214.7,2,Bituminous F-M Siltstone
2214.8,2,Bituminous F-M Siltstone
2214.9,2,Bituminous F-M Siltstone
2215.0,2,Bituminous F-M Siltstone
2215.1,2,Bituminous F-M Siltstone
2215.2,2,Bituminous F-M Siltstone
2215.2,2,Bituminous F-M Siltstone
2215.3,2,Bituminous F-M Siltstone
2215.4,2,Bituminous F-M Siltstone
2215.5,1,Bituminous F-C Siltstone
2215.6,1,Bituminous F-C Siltstone
2215.7,1,Bituminous F-C Siltstone
2215.8,1,Bituminous F-C Siltstone
2215.9,1,Bituminous F-C Siltstone
2216.0,1,Bituminous F-C Siltstone
2216.1,1,Bituminous F-C Siltstone
2216.2,1,Bituminous F-C Siltstone
2216.3,1,Bituminous F-C Siltstone
2216.4,1,Bituminous F-C Siltstone
2216.5,2,Bituminous F-M Siltstone
2216.6,3,Calcareous - Calcispheric Dolosiltstone
2216.7,3,Calcareous - Calcispheric Dolosiltstone
2216.8,3,Calcareous - Calcispheric Dolosiltstone
2216.9,3,Calcareous - Calcispheric Dolosiltstone
2217.0,3,Calcareous - Calcispheric Dolosiltstone
2217.1,3,Calcareous - Calcispheric Dolosiltstone
2217.2,3,Calcareous - Calcispheric Dolosiltstone
2217.3,3,Calcareous - Calcispheric Dolosiltstone
2217.4,3,Calcareous - Calcispheric Dolosiltstone
2217.5,2,Bituminous F-M Siltstone
2217.6,2,Bituminous F-M Siltstone
2217.7,2,Bituminous F-M Siltstone
2217.8,2,Bituminous F-M Siltstone
