Depth (m),Facies Code,Lithology,No. Biogenic,Percentages
1894.2,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1894.3,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1894.4,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1894.5,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1894.6,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1894.7,2,Bituminous F-M Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1894.8,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1894.9,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.0,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.1,2,Bituminous F-M Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.2,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.3,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.4,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.5,2,Bituminous F-M Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.6,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.7,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.8,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1895.9,2,Bituminous F-M Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1896.0,2,Bituminous F-M Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1896.1,1,Bituminous F-C Siltstone,7,"('Bituminous F-C Siltstone', 70)","('Bituminous F-M Siltstone', 30)"
1896.2,1,Bituminous F-C Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1896.3,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1896.4,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1896.5,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1896.6,2,Bituminous F-M Siltstone,0,"('Bituminous F-M Siltstone', 100)"
1896.7,2,Bituminous F-M Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1896.8,1,Bituminous F-C Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1896.9,1,Bituminous F-C Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.0,1,Bituminous F-C Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.1,2,Bituminous F-M Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.2,2,Bituminous F-M Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.3,1,Bituminous F-C Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.4,1,Bituminous F-C Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.5,2,Bituminous F-M Siltstone,3,"('Bituminous F-C Siltstone', 66)","('Bituminous F-M Siltstone', 34)"
1897.6,2,Bituminous F-M Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1897.7,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1897.8,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1897.9,0,Sandy F-C Siltstone to Silty VF Sandstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.0,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.1,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.2,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.3,0,Sandy F-C Siltstone to Silty VF Sandstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.4,0,Sandy F-C Siltstone to Silty VF Sandstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.5,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.6,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.7,1,Bituminous F-C Siltstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
1898.8,0,Sandy F-C Siltstone to Silty VF Sandstone,10,"('Bituminous F-C Siltstone', 58)","('Sandy F-C Siltstone to Silty VF Sandstone', 42)"
