From (m),To (m),Color Code,Interface,Contact to next Surface
2062.400,2062.442,silver,,smooth
2062.453,2062.896,white,,smooth
2062.906,2062.917,gray,,rough
2062.927,2062.938,dimgray,,rough
2062.948,2064.056,white,,smooth
2064.066,2064.151,deepskyblue,Marine Flooding Surface,smooth
2064.161,2064.562,white,,rough
2064.573,2064.583,gray,,rough
2064.594,2066.946,white,,rough
2066.957,2066.967,gray,,rough
2066.978,2067.368,white,,smooth
2067.379,2067.400,silver,,rough
2067.410,2069.626,white,,smooth
2069.636,2069.647,gray,,rough
2069.657,2069.668,dimgray,,rough
2069.678,2070.037,white,,rough
2070.047,2070.058,gray,,rough
2070.069,2074.151,white,,smooth
2074.161,2074.182,silver,,rough
2074.193,2074.415,white,,smooth
2074.425,2074.467,silver,,rough
2074.478,2075.079,white,,smooth
2075.090,2075.100,gray,,rough
2075.111,2075.121,dimgray,,rough
2075.132,2076.355,white,,rough
2076.366,2076.450,deepskyblue,Marine Flooding Surface,rough
2076.461,2076.714,white,,smooth
2076.725,2076.746,silver,,rough
2076.756,2078.307,white,,rough
2078.318,2078.328,silver,,rough
2078.339,2078.592,white,,smooth
2078.602,2078.623,gray,,rough
2078.634,2079.446,white,,rough
2079.457,2079.467,gray,,rough
2079.478,2083.687,white,,smooth
2083.697,2083.718,gray,,rough
2083.729,2085.353,white,,smooth
2085.364,2085.385,silver,,rough
2085.396,2088.444,white,,rough
2088.455,2088.465,gray,,rough
2088.476,2088.813,white,,rough
2088.824,2088.834,gray,,rough
2088.845,2105.332,white,,rough
2105.343,2105.353,silver,,rough
2105.364,2106.661,white,,rough
2106.672,2106.682,gray,,rough
2106.693,2107.062,white,,smooth
2107.073,2107.083,silver,,smooth
2107.094,2107.305,white,,rough
2107.315,2107.326,silver,,rough
2107.336,2107.737,white,,smooth
2107.748,2107.758,gray,,smooth
2107.769,2108.064,white,,smooth
2108.075,2108.107,dimgray,,rough
2108.117,2109.773,white,,smooth
2109.784,2109.805,silver,,rough
2109.815,2110.237,white,,smooth
2110.248,2110.258,dimgray,,smooth
2110.269,2110.280,gray,,smooth
2110.290,2110.512,white,,smooth
2110.522,2110.543,gray,,smooth
2110.554,2110.712,white,,smooth
2110.723,2110.733,silver,,smooth
2110.744,2110.944,white,,smooth
2110.955,2110.976,silver,,smooth
2110.986,2113.244,white,,smooth
2113.254,2113.265,gray,,rough
2113.275,2113.286,dimgray,,rough
2113.296,2113.676,white,,smooth
2113.687,2113.708,gray,,rough
2113.718,2115.121,white,,rough
2115.132,2115.142,silver,,rough
2115.153,2118.782,white,,rough
2118.792,2118.877,deepskyblue,Marine Flooding Surface,rough
2118.887,2119.678,white,,smooth
2119.689,2119.699,gray,,smooth
2119.710,2119.720,dimgray,,smooth
2119.731,2123.339,white,,smooth
2123.349,2123.360,silver,,smooth
2123.370,2123.687,white,,smooth
2123.697,2123.708,silver,,smooth
2123.718,2125.406,white,,smooth
2125.417,2125.438,gray,,rough
2125.448,2125.818,white,,smooth
2125.828,2125.849,silver,,smooth
2125.860,2128.423,white,,smooth
2128.434,2128.444,dimgray,,smooth
2128.455,2128.465,gray,,smooth
2128.476,2130.248,white,,smooth
2130.258,2130.269,gray,,smooth
2130.280,2131.355,white,,smooth
2131.366,2131.398,dimgray,,smooth
2131.408,2131.556,white,,smooth
2131.566,2131.577,gray,,smooth
2131.588,2131.598,dimgray,,smooth
2131.609,2133.634,white,,smooth
2133.645,2133.655,silver,,smooth
2133.666,2134.299,white,,smooth
2134.309,2134.320,silver,,smooth
2134.330,2135.986,white,,rough
2135.997,2136.007,silver,,rough
2136.018,2144.963,white,,smooth
