From (m),To (m),Color Code,Lithofacies,Contact to next Surface
2023.739,2024.098,plum,Calcareous - Calcispheric Dolosiltstone,rough
2024.109,2024.699,tan,Bituminous F-M Siltstone,smooth
2024.710,2024.836,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2024.847,2025.174,tan,Bituminous F-M Siltstone,rough
2025.185,2025.522,plum,Calcareous - Calcispheric Dolosiltstone,rough
2025.533,2025.638,tan,Bituminous F-M Siltstone,smooth
2025.649,2025.818,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2025.828,2026.039,sandybrown,Bituminous F-C Siltstone,smooth
2026.050,2026.208,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2026.218,2026.440,sandybrown,Bituminous F-C Siltstone,smooth
2026.450,2026.588,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2026.598,2026.767,tan,Bituminous F-M Siltstone,smooth
2026.777,2026.936,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
2026.946,2027.126,sandybrown,Bituminous F-C Siltstone,smooth
2027.136,2027.315,tan,Bituminous F-M Siltstone,smooth
2027.326,2027.516,sandybrown,Bituminous F-C Siltstone,smooth
2027.526,2027.737,tan,Bituminous F-M Siltstone,smooth
2027.748,2027.980,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2027.991,2028.191,tan,Bituminous F-M Siltstone,smooth
2028.201,2028.391,sandybrown,Bituminous F-C Siltstone,smooth
2028.402,2028.623,tan,Bituminous F-M Siltstone,smooth
2028.634,2028.750,sandybrown,Bituminous F-C Siltstone,smooth
2028.761,2028.929,tan,Bituminous F-M Siltstone,smooth
2028.940,2029.225,skyblue,Laminated Bedded Resedimented Bioclasts,rough
2029.235,2029.404,tan,Bituminous F-M Siltstone,smooth
