From (m),To (m),Color Code,Lithofacies,Contact to next Surface
2126.630,2126.893,sandybrown,Bituminous F-C Siltstone,rough
2126.904,2127.801,tan,Bituminous F-M Siltstone,smooth
2127.811,2127.938,sandybrown,Bituminous F-C Siltstone,smooth
2127.948,2128.455,tan,Bituminous F-M Siltstone,smooth
2128.465,2128.623,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2128.634,2128.782,sandybrown,Bituminous F-C Siltstone,smooth
2128.792,2128.908,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2128.919,2129.130,sandybrown,Bituminous F-C Siltstone,smooth
2129.140,2129.256,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2129.267,2129.457,sandybrown,Bituminous F-C Siltstone,smooth
2129.467,2129.615,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2129.626,2130.069,tan,Bituminous F-M Siltstone,smooth
2130.079,2130.248,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2130.258,2131.387,tan,Bituminous F-M Siltstone,smooth
2131.398,2131.577,sandybrown,Bituminous F-C Siltstone,rough
2131.588,2132.157,tan,Bituminous F-M Siltstone,smooth
2132.168,2132.284,sandybrown,Bituminous F-C Siltstone,smooth
2132.294,2132.706,tan,Bituminous F-M Siltstone,smooth
2132.716,2132.896,sandybrown,Bituminous F-C Siltstone,smooth
2132.906,2133.634,tan,Bituminous F-M Siltstone,smooth
2133.645,2134.014,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2134.024,2134.151,tan,Bituminous F-M Siltstone,smooth
2134.161,2134.299,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
2134.309,2134.636,tan,Bituminous F-M Siltstone,smooth
2134.647,2134.868,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2134.879,2135.047,tan,Bituminous F-M Siltstone,smooth
2135.058,2135.237,plum,Calcareous - Calcispheric Dolosiltstone,smooth
2135.248,2135.438,tan,Bituminous F-M Siltstone,smooth
2135.448,2135.617,sandybrown,Bituminous F-C Siltstone,smooth
2135.628,2135.807,tan,Bituminous F-M Siltstone,smooth
2135.818,2135.986,sandybrown,Bituminous F-C Siltstone,smooth
